Identifiant_de_l_etablissement,Type_etablissement,Statut_public_prive,Type_contrat_prive,Nom_etablissement,Adresse_1,Adresse_2,Adresse_3,Code_postal,Code_commune,Nom_commune,Code_departement,Libelle_departement,Code_academie,Libelle_academie,Code_region,Libelle_region,Ecole_maternelle,Ecole_elementaire,Voie_generale,Voie_technologique,Voie_professionnelle,Telephone,Fax,Web,Mail,Restauration,Hebergement,ULIS,Lycee_des_metiers,Apprentissage,Segpa,Post_BAC,Section_arts,Section_cinema,Section_theatre,Section_sport,Section_internationale,Section_europeenne,Lycee_Agricole,Lycee_militaire,Nombre_d_eleves,GRETA,SIREN_SIRET,Fiche_onisep,Appartenance_Education_Prioritaire,coordX_origine,coordY_origine,epsg_origine,nom_circonscription,latitude,longitude,position,precision_localisation,date_ouverture,date_maj_ligne,etat,ministere_tutelle,multi_uai,rpi_concentre,rpi_disperse,code_nature,libelle_nature
0381108Y,Ecole,Public,SANS OBJET,Ecole maternelle Henri Barbusse,73 avenue Potie ,,38400 ST MARTIN D HERES,38400,38421,Saint-Martin-d'Hères,38,Isère,8,Grenoble,84,Auvergne-Rhône-Alpes,1.0,0.0,,,,0476250378,,,ce.0381108Y@ac-grenoble.fr,1.0,0.0,0.0,,,,,,,,,,,,,148.0,,21380421400061,,REP,916741.2,6456217.9,EPSG:2154,Circonscription d'inspection du 1er degré de Saint Martin d'Hères,45.17117638687229,5.759536101334872,"45.17117638687229,5.759536101334872",Numéro de rue,1965-07-12,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,101,ECOLE MATERNELLE
0381109Z,Ecole,Public,SANS OBJET,Ecole maternelle Paul Langevin,10 rue JULES VERNE ,,38400 ST MARTIN D HERES,38400,38421,Saint-Martin-d'Hères,38,Isère,8,Grenoble,84,Auvergne-Rhône-Alpes,1.0,0.0,,,,0476422213,,,ce.0381109Z@ac-grenoble.fr,1.0,0.0,0.0,,,,,,,,,,,,,135.0,,21380421400327,,REP,916709.0,6457130.3,EPSG:2154,Circonscription d'inspection du 1er degré de Saint Martin d'Hères,45.17939688356278,5.759532271980742,"45.17939688356278,5.759532271980742",Numéro de rue,1965-07-12,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,101,ECOLE MATERNELLE
0381118J,Ecole,Public,SANS OBJET,Ecole primaire Voltaire,22 rue Edmond Rostand ,,38400 ST MARTIN D HERES,38400,38421,Saint-Martin-d'Hères,38,Isère,8,Grenoble,84,Auvergne-Rhône-Alpes,1.0,1.0,,,,0476250078,,,ce.0381118J@ac-grenoble.fr,1.0,0.0,0.0,,,,,,,,,,,,,207.0,,21380421400277,,REP,916194.1,6456486.0,EPSG:2154,Circonscription d'inspection du 1er degré de Saint Martin d'Hères,45.17376083502643,5.752695052388067,"45.17376083502643,5.752695052388067",Numéro de rue,1965-07-23,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0381238P,Ecole,Public,SANS OBJET,Ecole maternelle Vercors,2 rue François Gérin ,,38360 SASSENAGE,38360,38474,Sassenage,38,Isère,8,Grenoble,84,Auvergne-Rhône-Alpes,1.0,0.0,,,,0476532260,,,ce.0381238P@ac-grenoble.fr,0.0,0.0,0.0,,,,,,,,,,,,,87.0,,21380474300093,,,908907.0,6460128.9,EPSG:2154,Circonscription d'inspection du 1er degré de Fontaine-Vercors,45.20879194405182,5.66154619459206,"45.20879194405182,5.66154619459206",Numéro de rue,1965-07-12,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,101,ECOLE MATERNELLE
0381245X,Ecole,Public,SANS OBJET,Ecole primaire Rivoire de la Dame,Rue des Parcs ,,38360 SASSENAGE,38360,38474,Sassenage,38,Isère,8,Grenoble,84,Auvergne-Rhône-Alpes,1.0,1.0,,,,0476263406,,,ce.0381245X@ac-grenoble.fr,1.0,0.0,0.0,,,,,,,,,,,,,112.0,,21380474300069,,,908070.5,6460737.9,EPSG:2154,Circonscription d'inspection du 1er degré de Fontaine-Vercors,45.21452574540525,5.651157328209142,"45.21452574540525,5.651157328209142",Numéro de rue,1965-07-23,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0381265U,Ecole,Public,SANS OBJET,Ecole maternelle Vercors,9 allée des Balmes ,,38170 SEYSSINET PARISET,38170,38485,Seyssinet-Pariset,38,Isère,8,Grenoble,84,Auvergne-Rhône-Alpes,1.0,0.0,,,,0476273182,,,ce.0381265U@ac-grenoble.fr,0.0,0.0,0.0,,,,,,,,,,,,,116.0,,21380485900022,,,911629.5,6457679.1,EPSG:2154,Circonscription d'inspection du 1er degré de Fontaine-Vercors,45.18591483368983,5.69514011286509,"45.18591483368983,5.69514011286509",Numéro de rue,1965-07-12,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,101,ECOLE MATERNELLE
0381266V,Ecole,Public,SANS OBJET,Ecole maternelle Moucherotte mixte 1,17 rue du Moucherotte ,,38170 SEYSSINET PARISET,38170,38485,Seyssinet-Pariset,38,Isère,8,Grenoble,84,Auvergne-Rhône-Alpes,1.0,0.0,,,,0476960359,,,ce.0381266V@ac-grenoble.fr,1.0,0.0,0.0,,,,,,,,,,,,,118.0,,21380485900089,,,911209.5,6456890.7,EPSG:2154,Circonscription d'inspection du 1er degré de Fontaine-Vercors,45.17894899670846,5.689453633574879,"45.17894899670846,5.689453633574879",Numéro de rue,1965-07-12,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,101,ECOLE MATERNELLE
0381271A,Ecole,Public,SANS OBJET,Ecole primaire Le Village,28 avenue Hector Berlioz ,,38170 SEYSSINET PARISET,38170,38485,Seyssinet-Pariset,38,Isère,8,Grenoble,84,Auvergne-Rhône-Alpes,1.0,1.0,,,,0476214996,,,ce.0381271A@ac-grenoble.fr,1.0,0.0,0.0,,,,,,,,,,,,,40.0,,21380485900030,,,910542.3,6455969.5,EPSG:2154,Circonscription d'inspection du 1er degré de Fontaine-Vercors,45.170863412778935,5.680566268799383,"45.170863412778935,5.6805662687993825",Numéro de rue,1965-07-23,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0381388C,Ecole,Public,SANS OBJET,Ecole primaire, LE MOLLARET,,38610 VENON,38610,38533,Venon,38,Isère,8,Grenoble,84,Auvergne-Rhône-Alpes,1.0,1.0,,,,0476894115,,,ce.0381388C@ac-grenoble.fr,0.0,0.0,0.0,,,,,,,,,,,,,67.0,,21380533600020,,,920208.7,6456171.4,EPSG:2154,Circonscription d'inspection du 1er degré de Saint Martin d'Hères,45.16965834163737,5.80362629070771,"45.16965834163737,5.80362629070771",Lieu-dit,1965-07-23,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0381403U,Ecole,Public,SANS OBJET,Ecole primaire,Route de Montaud ,,38113 VEUREY VOROIZE,38113,38540,Veurey-Voroize,38,Isère,8,Grenoble,84,Auvergne-Rhône-Alpes,1.0,1.0,,,,0476538636,,,ce.0381403U@ac-grenoble.fr,0.0,0.0,0.0,,,,,,,,,,,,,109.0,,21380540100022,,,904914.0,6467152.2,EPSG:2154,Circonscription d'inspection du 1er degré de Fontaine-Vercors,45.27319714993119,5.613672184593895,"45.27319714993119,5.613672184593895",Numéro de rue,1965-07-23,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0381563T,Ecole,Public,SANS OBJET,Ecole maternelle Chamrousse,124 rue du Progrès ,,38170 SEYSSINET PARISET,38170,38485,Seyssinet-Pariset,38,Isère,8,Grenoble,84,Auvergne-Rhône-Alpes,1.0,0.0,,,,0476966785,,,ce.0381563T@ac-grenoble.fr,1.0,0.0,0.0,,,,,,,,,,,,,100.0,,21380485900113,,,911970.5,6456577.2,EPSG:2154,Circonscription d'inspection du 1er degré de Fontaine-Vercors,45.17589408595703,5.698999961467304,"45.175894085957026,5.698999961467304",Numéro de rue,1966-10-06,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,101,ECOLE MATERNELLE
0381566W,Ecole,Public,SANS OBJET,Ecole maternelle Voltaire,22 rue Edmond Rostand ,,38400 ST MARTIN D HERES,38400,38421,Saint-Martin-d'Hères,38,Isère,8,Grenoble,84,Auvergne-Rhône-Alpes,1.0,0.0,,,,0476250377,,,ce.0381566W@ac-grenoble.fr,1.0,0.0,0.0,,,,,,,,,,,,,86.0,,21380421400285,,REP,916271.2,6456468.7,EPSG:2154,Circonscription d'inspection du 1er degré de Saint Martin d'Hères,45.17358095761835,5.753668255400848,"45.17358095761835,5.753668255400848",Numéro de rue,1966-10-06,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,101,ECOLE MATERNELLE
0381597E,Ecole,Public,SANS OBJET,Ecole primaire Jeanne Labourbe,24 rue de la République ,,38600 FONTAINE,38600,38169,Fontaine,38,Isère,8,Grenoble,84,Auvergne-Rhône-Alpes,1.0,1.0,,,,0476263897,,,ce.0381597E@ac-grenoble.fr,1.0,0.0,0.0,,,,,,,,,,,,,81.0,,21380169900215,,REP,909375.2,6458864.6,EPSG:2154,Circonscription d'inspection du 1er degré de Fontaine-Vercors,45.19727219514086,5.666962861667576,"45.19727219514086,5.666962861667576",Numéro de rue,1966-10-06,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0381601J,Ecole,Public,SANS OBJET,Ecole maternelle Anatole France,22 rue des Alpes ,,38600 FONTAINE,38600,38169,Fontaine,38,Isère,8,Grenoble,84,Auvergne-Rhône-Alpes,1.0,0.0,,,,0476267480,,,ce.0381601J@ac-grenoble.fr,1.0,0.0,0.0,,,,,,,,,,,,,92.0,,21380169900033,,REP,910687.1,6458685.2,EPSG:2154,Circonscription d'inspection du 1er degré de Fontaine-Vercors,45.19525763298355,5.683583020863421,"45.19525763298355,5.683583020863421",Numéro de rue,1968-11-04,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,101,ECOLE MATERNELLE
0381635W,Ecole,Public,SANS OBJET,Ecole maternelle Bel Air,27 rue Victor Hugo ,,38320 EYBENS,38320,38158,Eybens,38,Isère,8,Grenoble,84,Auvergne-Rhône-Alpes,1.0,0.0,,,,0476242710,,,ce.0381635W@ac-grenoble.fr,0.0,0.0,0.0,,,,,,,,,,,,,77.0,,21380158200056,,,916162.4,6454830.2,EPSG:2154,Circonscription d'inspection du 1er degré de Grenoble 1,45.15887080193637,5.75155740655338,"45.15887080193637,5.75155740655338",Numéro de rue,1967-10-13,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,101,ECOLE MATERNELLE
0381771U,Ecole,Public,SANS OBJET,Ecole primaire Anatole France,22 rue des Alpes ,,38600 FONTAINE,38600,38169,Fontaine,38,Isère,8,Grenoble,84,Auvergne-Rhône-Alpes,1.0,1.0,,,,0476271437,,,ce.0381771U@ac-grenoble.fr,1.0,0.0,1.0,,,,,,,,,,,,,183.0,,21380169900025,,REP,910709.3,6458665.0,EPSG:2154,Circonscription d'inspection du 1er degré de Fontaine-Vercors,45.19506906095723,5.683856829238631,"45.19506906095723,5.683856829238631",Numéro de rue,1968-11-04,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0381791R,Ecole,Public,SANS OBJET,Ecole maternelle Paul Bert,13 rue Chopin ,,38400 ST MARTIN D HERES,38400,38421,Saint-Martin-d'Hères,38,Isère,8,Grenoble,84,Auvergne-Rhône-Alpes,1.0,0.0,,,,0476250992,,,ce.0381791R@ac-grenoble.fr,1.0,0.0,0.0,,,,,,,,,,,,,83.0,,21380421400087,,,916089.6,6455525.2,EPSG:2154,Circonscription d'inspection du 1er degré de Saint Martin d'Hères,45.16514770070115,5.750939559307272,"45.16514770070115,5.750939559307272",Numéro de rue,1968-11-04,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,101,ECOLE MATERNELLE
0381792S,Ecole,Public,SANS OBJET,Ecole maternelle Condorcet,5 rue du Doyen Gosse ,,38400 ST MARTIN D HERES,38400,38421,Saint-Martin-d'Hères,38,Isère,8,Grenoble,84,Auvergne-Rhône-Alpes,1.0,0.0,,,,0476250069,,,ce.0381792S@ac-grenoble.fr,1.0,0.0,0.0,,,,,,,,,,,,,97.0,,21380421400152,,,917171.8,6455345.3,EPSG:2154,Circonscription d'inspection du 1er degré de Saint Martin d'Hères,45.16318859539925,5.764625180227925,"45.16318859539925,5.764625180227925",Numéro de rue,1968-11-04,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,101,ECOLE MATERNELLE
0381798Y,Ecole,Public,SANS OBJET,Ecole primaire Saint-Just,13 rue Le Corbusier ,,38400 ST MARTIN D HERES,38400,38421,Saint-Martin-d'Hères,38,Isère,8,Grenoble,84,Auvergne-Rhône-Alpes,1.0,1.0,,,,0476424302,,,ce.0381798Y@ac-grenoble.fr,1.0,0.0,0.0,,,,,,,,,,,,,100.0,,21380421400111,,,917194.6,6457463.5,EPSG:2154,Circonscription d'inspection du 1er degré de Saint Martin d'Hères,45.182242284006094,5.765859319510866,"45.182242284006094,5.765859319510866",Numéro de rue,1979-09-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0381857M,Ecole,Public,SANS OBJET,Ecole maternelle Chartreuse,2 rue de Cartale ,,38170 SEYSSINET PARISET,38170,38485,Seyssinet-Pariset,38,Isère,8,Grenoble,84,Auvergne-Rhône-Alpes,1.0,0.0,,,,0476963040,,,ce.0381857M@ac-grenoble.fr,1.0,0.0,0.0,,,,,,,,,,,,,71.0,,21380485900055,,,911465.6,6455949.7,EPSG:2154,Circonscription d'inspection du 1er degré de Fontaine-Vercors,45.17040244880634,5.692303788273028,"45.17040244880634,5.692303788273028",Numéro de rue,1969-07-18,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,101,ECOLE MATERNELLE
0381891Z,Ecole,Public,SANS OBJET,Ecole maternelle Maurice Audin,Rue Eugène Charbonnier ,,38600 FONTAINE,38600,38169,Fontaine,38,Isère,8,Grenoble,84,Auvergne-Rhône-Alpes,1.0,0.0,,,,0476273037,,,ce.0381891Z@ac-grenoble.fr,1.0,0.0,0.0,,,,,,,,,,,,,70.0,,21380169900116,,REP,910346.5,6458426.5,EPSG:2154,Circonscription d'inspection du 1er degré de Fontaine-Vercors,45.1930337148524,5.679136272320623,"45.1930337148524,5.679136272320623",Numéro de rue,1969-10-16,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,101,ECOLE MATERNELLE
0381926M,Ecole,Public,SANS OBJET,Ecole primaire Le Mûrier,262 route de la Vanne ,,38360 NOYAREY,38360,38281,Noyarey,38,Isère,8,Grenoble,84,Auvergne-Rhône-Alpes,1.0,1.0,,,,0476539571,,,ce.0381926M@ac-grenoble.fr,0.0,0.0,0.0,,,,,,,,,,,,,125.0,,21380281200049,,,906740.2,6464015.2,EPSG:2154,Circonscription d'inspection du 1er degré de Fontaine-Vercors,45.24441976752389,5.635613046260112,"45.244419767523894,5.6356130462601115",Numéro de rue,1970-06-09,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0381936Y,Ecole,Public,SANS OBJET,Ecole primaire Simone Lagrange,11 rue Mélinée et Missak Manouchian ,,38000 GRENOBLE,38000,38185,Grenoble,38,Isère,8,Grenoble,84,Auvergne-Rhône-Alpes,1.0,1.0,,,,0476465725,,,ce.0381936Y@ac-grenoble.fr,1.0,0.0,0.0,,,,,,,,,,,,,225.0,,21380185500817,,,911877.0,6459531.2,EPSG:2154,Circonscription d'inspection du 1er degré de Grenoble 1,45.20250565040427,5.699095549159471,"45.20250565040427,5.699095549159471",Ville,1970-06-09,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0382010D,Ecole,Public,SANS OBJET,Ecole maternelle Maisons Neuves,14 place des Coulmes ,,38320 EYBENS,38320,38158,Eybens,38,Isère,8,Grenoble,84,Auvergne-Rhône-Alpes,1.0,0.0,,,,0476254452,,,ce.0382010D@ac-grenoble.fr,0.0,0.0,0.0,,,,,,,,,,,,,102.0,,21380158200114,,,915807.5,6455012.7,EPSG:2154,Circonscription d'inspection du 1er degré de Grenoble 1,45.16062429827773,5.747124276078877,"45.16062429827773,5.747124276078877",Numéro de rue,1971-09-30,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,101,ECOLE MATERNELLE
0382061J,Ecole,Public,SANS OBJET,Ecole primaire Romain Rolland,5 avenue Romain Rolland ,,38400 ST MARTIN D HERES,38400,38421,Saint-Martin-d'Hères,38,Isère,8,Grenoble,84,Auvergne-Rhône-Alpes,1.0,1.0,,,,0476246916,,,ce.0382061J@ac-grenoble.fr,1.0,0.0,0.0,,,,,,,,,,,,,176.0,,21380421400251,,,917237.6,6455809.0,EPSG:2154,Circonscription d'inspection du 1er degré de Saint Martin d'Hères,45.16734050525358,5.765668805344176,"45.16734050525358,5.765668805344176",Numéro de rue,1972-06-14,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0382076A,Ecole,Public,SANS OBJET,Ecole primaire Jean Racine,22 avenue Teysseire ,,38000 GRENOBLE,38000,38185,Grenoble,38,Isère,8,Grenoble,84,Auvergne-Rhône-Alpes,1.0,1.0,,,,0476252267,,,ce.0382076A@ac-grenoble.fr,1.0,0.0,0.0,,,,,,,,,,,,,380.0,,21380185500965,,,915463.2,6455881.9,EPSG:2154,Circonscription d'inspection du 1er degré de Grenoble 1,45.16855370744742,5.743129254712645,"45.16855370744742,5.743129254712645",Numéro de rue,1972-10-12,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0382164W,Ecole,Public,SANS OBJET,Ecole primaire Le Château,Rue Paul Verlaine ,,38360 SASSENAGE,38360,38474,Sassenage,38,Isère,8,Grenoble,84,Auvergne-Rhône-Alpes,1.0,1.0,,,,0476276715,,,ce.0382164W@ac-grenoble.fr,1.0,0.0,0.0,,,,,,,,,,,,,148.0,,21380474300036,,,908683.9,6460782.7,EPSG:2154,Circonscription d'inspection du 1er degré de Fontaine-Vercors,45.2147432272044,5.658986360464002,"45.2147432272044,5.658986360464002",Numéro de rue,1973-10-04,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0382186V,Ecole,Public,SANS OBJET,Ecole primaire Nicolas Chorier,23 rue Nicolas Chorier ,,38000 GRENOBLE,38000,38185,Grenoble,38,Isère,8,Grenoble,84,Auvergne-Rhône-Alpes,1.0,1.0,,,,0476961841,,,ce.0382186V@ac-grenoble.fr,1.0,0.0,0.0,,,,,,,,,,,,,183.0,,21380185500445,,,913204.6,6457717.4,EPSG:2154,Circonscription d'inspection du 1er degré de Grenoble 1,45.18577370983717,5.715200313037033,"45.185773709837164,5.715200313037033",Numéro de rue,1974-05-28,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0382193C,Ecole,Public,SANS OBJET,Ecole maternelle Le Château,4 rue Paul Verlaine ,,38360 SASSENAGE,38360,38474,Sassenage,38,Isère,8,Grenoble,84,Auvergne-Rhône-Alpes,1.0,0.0,,,,0476276702,,,ce.0382193C@ac-grenoble.fr,0.0,0.0,0.0,,,,,,,,,,,,,81.0,,21380474300044,,,908716.7,6460803.7,EPSG:2154,Circonscription d'inspection du 1er degré de Fontaine-Vercors,45.214922264543205,5.6594129804735696,"45.214922264543205,5.6594129804735696",Numéro de rue,1974-05-28,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,101,ECOLE MATERNELLE
0382215B,Ecole,Public,SANS OBJET,Ecole maternelle Romain Rolland,5 avenue Romain Rolland ,,38400 ST MARTIN D HERES,38400,38421,Saint-Martin-d'Hères,38,Isère,8,Grenoble,84,Auvergne-Rhône-Alpes,1.0,0.0,,,,0476250117,,,ce.0382215B@ac-grenoble.fr,1.0,0.0,0.0,,,,,,,,,,,,,109.0,,21380421400269,,,917208.3,6455778.1,EPSG:2154,Circonscription d'inspection du 1er degré de Saint Martin d'Hères,45.16707168610325,5.765282318714062,"45.16707168610325,5.765282318714062",Numéro de rue,1975-03-27,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,101,ECOLE MATERNELLE
0382223K,Ecole,Public,SANS OBJET,Ecole maternelle Nicolas Chorier,21 rue Nicolas Chorier ,,38000 GRENOBLE,38000,38185,Grenoble,38,Isère,8,Grenoble,84,Auvergne-Rhône-Alpes,1.0,0.0,,,,0476963870,,,ce.0382223K@ac-grenoble.fr,1.0,0.0,0.0,,,,,,,,,,,,,136.0,,21380185500452,,,913229.0,6457717.1,EPSG:2154,Circonscription d'inspection du 1er degré de Grenoble 1,45.185763456587885,5.715510675319683,"45.185763456587885,5.715510675319683",Numéro de rue,1975-05-22,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,101,ECOLE MATERNELLE
0382225M,Ecole,Public,SANS OBJET,Ecole maternelle Les Pies B,4 rue du Parc Messkirch ,,38360 SASSENAGE,38360,38474,Sassenage,38,Isère,8,Grenoble,84,Auvergne-Rhône-Alpes,1.0,0.0,,,,0476263902,,,ce.0382225M@ac-grenoble.fr,0.0,0.0,0.0,,,,,,,,,,,,,183.0,,21380474300143,,,909441.9,6459206.9,EPSG:2154,Circonscription d'inspection du 1er degré de Fontaine-Vercors,45.20033228745681,5.667959083708483,"45.20033228745681,5.667959083708483",Numéro de rue,1975-05-22,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,101,ECOLE MATERNELLE
0382239C,Ecole,Public,SANS OBJET,Ecole primaire Jules Ferry,57 ter quai du Drac ,,38600 FONTAINE,38600,38169,Fontaine,38,Isère,8,Grenoble,84,Auvergne-Rhône-Alpes,1.0,1.0,,,,0476266380,,,ce.0382239C@ac-grenoble.fr,1.0,0.0,0.0,,,,,,,,,,,,,147.0,,21380169900132,,,911923.6,6458759.5,EPSG:2154,Circonscription d'inspection du 1er degré de Fontaine-Vercors,45.19554683301648,5.69935278993767,"45.19554683301648,5.69935278993767",Numéro de rue,1975-05-15,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0382240D,Ecole,Public,SANS OBJET,Ecole primaire René Cassin,2 rue de l'Isère ,,38610 GIERES,38610,38179,Gières,38,Isère,8,Grenoble,84,Auvergne-Rhône-Alpes,1.0,1.0,,,,0476893214,,,ce.0382240D@ac-grenoble.fr,1.0,0.0,1.0,,,,,,,,,,,,,335.0,,21380179800033,,,919300.0,6457610.7,EPSG:2154,Circonscription d'inspection du 1er degré de Saint Martin d'Hères,45.18289976032148,5.792714508901572,"45.18289976032148,5.792714508901572",Numéro de rue,1975-05-15,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0382250P,Ecole,Public,SANS OBJET,Ecole primaire Joliot-Curie,16 avenue Jean Jaurès ,,38400 ST MARTIN D HERES,38400,38421,Saint-Martin-d'Hères,38,Isère,8,Grenoble,84,Auvergne-Rhône-Alpes,1.0,1.0,,,,0476255193,,,ce.0382250P@ac-grenoble.fr,1.0,0.0,0.0,,,,,,,,,,,,,126.0,,21380421400178,,REP,917460.7,6457169.4,EPSG:2154,Circonscription d'inspection du 1er degré de Saint Martin d'Hères,45.17951182930144,5.769113901507607,"45.17951182930144,5.769113901507607",Numéro de rue,1975-05-21,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0382255V,Ecole,Public,SANS OBJET,Ecole maternelle,3 place Gérard Philipe ,,38320 POISAT,38320,38309,Poisat,38,Isère,8,Grenoble,84,Auvergne-Rhône-Alpes,1.0,0.0,,,,0476242225,,,ce.0382255V@ac-grenoble.fr,1.0,0.0,0.0,,,,,,,,,,,,,70.0,,21380309100023,,,916835.7,6454800.4,EPSG:2154,Circonscription d'inspection du 1er degré de Saint Martin d'Hères,45.15839110236912,5.760107701384095,"45.15839110236912,5.760107701384095",Numéro de rue,1975-10-03,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,101,ECOLE MATERNELLE
0382287E,Ecole,Public,SANS OBJET,Ecole primaire d'application Elisée Chatin,27 rue Lebrix ,,38100 GRENOBLE,38100,38185,Grenoble,38,Isère,8,Grenoble,84,Auvergne-Rhône-Alpes,1.0,1.0,,,,0476465829,,,ce.0382287E@ac-grenoble.fr,1.0,0.0,0.0,,,,,,,,,,,,,514.0,,21380185500395,,,913747.0,6456963.3,EPSG:2154,Circonscription d'inspection du 1er degré de Grenoble 1,45.17881959018246,5.721771517058526,"45.17881959018246,5.721771517058526",Numéro de rue,1976-04-29,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,153,ECOLE ELEMENTAIRE D APPLICATION
0382288F,Ecole,Public,SANS OBJET,Ecole primaire Malherbe,25 avenue Malherbe ,,38000 GRENOBLE,38000,38185,Grenoble,38,Isère,8,Grenoble,84,Auvergne-Rhône-Alpes,1.0,1.0,,,,0476252447,,,ce.0382288F@ac-grenoble.fr,1.0,0.0,0.0,,,,,,,,,,,,,422.0,,21380185500825,,,914788.9,6455900.5,EPSG:2154,Circonscription d'inspection du 1er degré de Grenoble 1,45.16893163326214,5.734559601342567,"45.16893163326214,5.734559601342567",Numéro de rue,1976-04-29,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0382315K,Ecole,Public,SANS OBJET,Ecole maternelle Georges Argoud Puy,29 rue la Fontaine ,,38610 GIERES,38610,38179,Gières,38,Isère,8,Grenoble,84,Auvergne-Rhône-Alpes,1.0,0.0,,,,0476893482,,,ce.0382315K@ac-grenoble.fr,1.0,0.0,0.0,,,,,,,,,,,,,97.0,,21380179800025,,,920050.9,6457809.6,EPSG:2154,Circonscription d'inspection du 1er degré de Saint Martin d'Hères,45.184450073202896,5.80235881908371,"45.184450073202896,5.80235881908371",Numéro de rue,1976-05-06,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,101,ECOLE MATERNELLE
